Location of death (city),State,Number_of_Incidents,Requires_De_Escalation,Has_Use_of_Force_Continuum,Bans_Chokeholds_and_Strangleholds,Requires_Warning_Before_Shooting,Restricts_Shooting_at_Moving_Vehicles,Requires_Exhaust_All_Other_Means_Before_Shooting,Duty_to_Intervene,Requires_Comprehensive_Reporting,City Population,Incidents_Per_Capita,Latitude,Longitude
Fort Myers,FL,19,0,1,1,0,0,0,1,0,83505.0,22.753128555176335,26.6450748,-81.858368
Fort Lauderdale,FL,41,0,0,1,0,0,0,0,1,181818.0,22.55002255002255,26.1410883,-80.1201673
Richmond,CA,24,0,0,1,1,0,0,1,0,110051.0,21.80807080353654,37.9153955,-122.3229286
Visalia,CA,29,0,0,1,1,0,0,1,0,133100.0,21.788129226145756,36.3269925,-119.3382161
Laguna Beach,CA,5,0,0,1,1,0,0,1,0,22991.0,21.74764038101866,33.5357941,-117.777835
Gilroy,CA,12,0,0,1,1,0,0,0,0,55227.0,21.72850236297463,37.0628625,-121.5952029
Tulare,CA,14,0,0,1,1,0,0,1,0,64546.0,21.689957549654512,36.207365,-119.355242
Savannah,GA,31,1,1,1,1,0,0,1,1,145492.0,21.30701344403816,31.98979,-81.076158
Whittier,CA,18,1,0,1,0,0,0,1,0,84821.0,21.221159854281368,33.975005,-118.0397306
Canton,OH,15,1,1,1,1,1,1,1,1,70863.0,21.167605097159303,40.7891107,-81.3733078
Mobile,AL,40,0,1,0,1,0,1,0,0,189994.0,21.053296419886944,30.6921708,-88.2075789
Pittsburg,CA,15,0,1,1,1,0,0,1,0,71723.0,20.913793343836705,38.0404555,-121.96197
Frederick,MD,15,1,0,1,0,0,0,1,1,71843.0,20.878860849352066,39.4602915,-77.4093615
Idaho Falls,ID,13,1,0,0,1,0,0,1,0,62417.0,20.8276591313264,43.4920467,-112.0358361
Chattanooga,TN,37,0,1,1,1,0,1,1,0,181370.0,20.400286706732093,35.0245577,-85.1974261
Yakima,WA,19,0,0,0,0,0,0,1,0,93829.0,20.249603001204317,46.679103,-120.4786083
Pittsburgh,PA,61,1,1,0,1,0,0,0,0,301286.0,20.246543151689757,40.4404428,-79.9891887
Hagerstown,MD,8,1,1,0,1,0,0,1,0,40027.0,19.98650910635321,39.654649,-77.769294
Long Beach,CA,92,1,0,1,1,0,1,1,0,462081.0,19.90992921154516,33.7691442,-118.1820822
Antioch,CA,22,0,0,1,1,0,0,1,0,111468.0,19.73660602145907,38.0031972,-121.8398373
Springfield,MO,33,0,1,0,1,0,0,1,0,167601.0,19.689619990334187,37.2510637,-93.3033265
Brooklyn Center,MN,6,0,0,1,0,0,0,1,0,30755.0,19.509022923101934,45.0634651,-93.3018704
Salina,KS,9,1,1,1,1,0,0,1,1,46706.0,19.2694728728643,38.8561648,-97.6124493
Houston,TX,445,1,1,1,0,0,1,1,1,2313238.0,19.237104007456217,29.6683153,-95.3122362
Lafayette,LA,24,0,0,0,0,0,0,1,1,126674.0,18.94627153164817,30.2414108,-92.031353
Spokane,WA,41,1,1,1,1,0,1,1,1,219185.0,18.70565960261879,47.6570362,-117.3392951
Zephyrhills,FL,3,0,0,0,0,0,0,0,1,16062.0,18.67762420620097,28.230499,-82.2126648
New Orleans,LA,73,1,1,1,0,1,0,1,1,391249.0,18.65819465353266,29.9673644,-90.0424063
Escondido,CA,28,0,0,1,1,0,0,0,1,150396.0,18.61751642330913,33.1217135,-117.0793341
Palm Springs,CA,9,0,0,1,1,0,0,1,0,48390.0,18.598884066955986,33.8423341,-116.5281682
Ontario,CA,33,0,0,1,1,0,0,1,0,178194.0,18.519142058655177,34.0695701,-117.5498558
South Bend,IN,19,1,0,1,1,0,0,1,0,102686.0,18.50300917359718,41.6801485,-86.2257511
Milwaukee,WI,109,1,1,1,1,1,0,1,1,592649.0,18.39199931156553,43.0898945,-87.9868255
Rockford,IL,27,0,0,0,0,0,0,0,0,147441.0,18.312409709646573,42.3152437,-89.0320439
Fayetteville,NC,38,1,1,0,0,0,0,1,0,211201.0,17.992339051424945,34.9965997,-78.9010378
Culver,CA,7,0,0,1,1,0,0,1,0,38913.0,17.988846914912756,,
Waukesha,WI,13,0,1,1,0,0,0,0,0,72419.0,17.951090183515376,42.9827661,-88.2572687
South Gate,CA,17,0,0,1,1,0,0,1,0,94905.0,17.91264949159686,33.9647021,-118.2224202
Middletown,NY,5,0,0,1,0,0,0,0,0,28018.0,17.845670640302664,41.453347,-74.3692843
Akron,OH,35,0,0,1,1,0,0,1,0,197375.0,17.73274224192527,41.090236,-81.574747
Flagstaff,AZ,13,0,1,0,1,0,0,1,1,73319.0,17.730738280663946,35.2077009,-111.6106497
New Brighton,MN,4,0,0,1,0,0,0,1,0,22663.0,17.64991395666946,45.0657959,-93.2186684
Hayward,CA,28,0,0,1,1,0,0,1,1,158817.0,17.630354433089657,37.6162801,-122.092026
St. Petersburg,FL,46,1,1,1,1,1,1,0,0,264001.0,17.424176423574153,27.7447699,-82.6628795
Tacoma,WA,37,0,1,0,0,0,1,0,0,215766.0,17.148206853721163,47.1989628,-122.3890566
Emeryville,CA,2,0,0,1,1,0,0,1,0,11679.0,17.12475383166367,37.8319462,-122.280456
Tampa,FL,67,1,1,1,1,1,1,1,1,395912.0,16.92295257531977,28.0660332,-82.4361586
Wichita,KS,66,0,1,1,1,1,0,1,1,390566.0,16.898552357348056,37.6871761,-97.330053
Norfolk,VA,41,1,1,0,0,0,0,1,0,244300.0,16.782644289807614,36.8766379,-76.2593766
Omaha,NE,80,1,1,1,1,0,0,1,0,479529.0,16.683036896621477,41.299617,-95.9469514
Chicago,IL,450,1,1,1,1,0,1,1,0,2699347.0,16.670698505972,41.8126818,-87.622927
Merced,CA,14,0,0,1,1,0,0,1,0,84081.0,16.650610720614647,37.2653668,-120.4454893
Denver,CO,119,1,1,1,1,1,1,1,1,715878.0,16.62294413293885,39.7383026,-104.9315471
Seal Beach,CA,4,0,0,1,0,0,0,1,0,24268.0,16.482610845557936,33.78154,-118.071577
Reno,NV,41,1,0,1,1,0,0,1,0,250903.0,16.340976393267518,39.5277048,-119.8074243
Memphis,TN,104,0,0,0,0,0,1,1,0,650910.0,15.97763131615738,35.0205432,-89.8980502
Delray Beach,FL,11,0,1,1,0,0,0,1,1,68916.0,15.961460328515871,26.439481,-80.0966709
Vista,CA,16,1,1,1,1,0,0,1,0,100659.0,15.895250300519576,33.2046819,-117.2542209
Anaheim,CA,56,1,1,1,1,0,0,1,0,353085.0,15.86020363368594,33.8324111,-117.9687931
Hackensack,NJ,7,1,1,1,1,1,1,1,1,44266.0,15.813491167035648,40.8880702,-74.0499091
San Marcos,TX,10,0,0,1,1,0,0,1,0,64053.0,15.6120712534932,29.827958,-97.957388
Bangor,ME,5,1,1,1,0,0,0,1,0,32029.0,15.61085266477255,44.7953929,-68.7940492
Clearwater,FL,18,0,1,1,1,0,1,1,1,115975.0,15.52058633326148,27.9655835,-82.7876565
Pinole,CA,3,1,0,1,1,0,0,1,0,19343.0,15.50948663599235,37.98228,-122.273122
El Cajon,CA,16,1,1,1,0,0,1,0,0,103249.0,15.496518126083544,32.823264,-116.930736
Woodinville,WA,2,1,1,1,1,1,1,1,1,13038.0,15.339776039269829,47.7656664,-122.1616031
Des Moines,IA,33,1,1,1,1,0,0,1,0,215408.0,15.319765282626458,41.6295304,-93.6044462
Sacramento,CA,77,1,0,1,1,0,1,1,1,503482.0,15.293496093206908,38.4739487,-121.4337757
Phoenix,AZ,251,1,1,1,1,1,1,1,0,1658422.0,15.134869170814184,33.476923,-112.111356
Fontana,CA,32,0,0,1,1,0,0,1,0,212704.0,15.044380923724988,34.044552,-117.4650992
San Antonio,TX,230,1,1,1,1,0,1,1,1,1529133.0,15.041203086978047,29.4551552,-98.6340545
Riverside,CA,49,1,1,1,1,0,0,1,0,327569.0,14.958680461215804,34.0243273,-117.425389
Jacksonville,FL,134,0,1,1,1,0,0,0,0,902488.0,14.84784285220413,30.3647826,-81.6697402
Sun Prairie,WI,5,0,1,0,1,0,1,1,1,33954.0,14.725805501560936,43.1305654,-89.1533932
Columbus,OH,130,1,1,1,1,0,0,1,0,889079.0,14.621872746966243,39.9313393,-82.9958454
Newark,CA,7,1,0,1,1,0,0,1,0,48148.0,14.538506272326993,37.5414344,-122.0256408
Philadelphia,PA,229,1,1,1,1,1,1,1,0,1581531.0,14.479640297913855,39.919103,-75.234483
Ceres,CA,7,1,0,1,1,0,0,1,0,48355.0,14.476269258608207,37.594592,-120.959453
Garden Grove,CA,25,0,0,1,0,0,0,0,0,172800.0,14.467592592592592,33.7774911,-117.918324
Minneapolis,MN,61,1,1,1,1,1,0,1,1,424536.0,14.368628337761695,44.9412119,-93.2629432
La Habra,CA,9,0,0,1,1,0,0,1,0,62787.0,14.33417745711692,33.9325126,-117.9458924
Auburn,CA,2,0,1,1,1,0,0,1,0,14104.0,14.180374361883157,38.9301464,-121.0945946
Santa Ana,CA,47,1,1,1,1,0,0,1,0,332610.0,14.130663539881544,33.7272402,-117.9001445
Montgomery,AL,28,0,0,0,0,0,0,0,0,199054.0,14.066534709174396,32.3332492,-86.3119487
Allentown,PA,17,1,1,1,1,0,0,0,0,121156.0,14.031496582917892,40.6002864,-75.4728969
Mesa,AZ,71,0,1,0,1,0,0,1,0,508918.0,13.951166985644054,33.4151843,-111.8314724
Charleston,SC,19,1,1,0,1,1,1,0,1,137041.0,13.864463919556922,32.793105,-79.9476782
Toledo,OH,38,0,1,0,1,0,0,0,0,275116.0,13.812355515491648,41.66104,-83.531252
Dallas,TX,184,1,1,1,1,1,1,1,1,1338846.0,13.743178827139191,32.8781179,-96.8960164
East Palo Alto,CA,4,0,0,1,1,1,0,1,0,29448.0,13.583265417006247,37.472808,-122.1543759
Louisville,KY,84,1,1,1,1,0,1,1,0,618733.0,13.576130576516851,38.2418795,-85.8317826
Colorado Springs,CO,64,0,0,1,1,0,1,1,1,471686.0,13.568348435187817,38.8411212,-104.7387451
Everett,WA,15,1,1,1,1,0,1,1,0,110840.0,13.533020570191267,47.997628,-122.1996534
Lodi,CA,9,0,0,1,1,0,0,1,0,66562.0,13.521228328475706,38.1160444,-121.2589626
Yuba,CA,9,1,0,1,1,0,0,1,0,66660.0,13.5013501350135,,
Aurora,CO,51,1,1,1,1,1,1,1,1,379434.0,13.441072755736176,39.7112538,-104.8470999
Syracuse,NY,19,1,0,1,1,0,0,1,0,142553.0,13.328376112744031,43.037798,-76.16764
Pomona,CA,20,0,0,1,1,0,0,1,0,151124.0,13.234165321193194,34.0639657,-117.7881302
Bethlehem,PA,10,0,0,1,1,0,0,1,1,75571.0,13.23258922073282,40.612106,-75.3458519
Westminster,CA,12,1,0,1,1,0,0,1,0,90857.0,13.207567936427573,33.7412892,-117.9576049
El Monte,CA,15,0,0,1,1,0,0,1,0,113917.0,13.16748158747158,34.063422,-118.0140101
Torrance,CA,19,1,0,1,1,0,0,1,0,144430.0,13.155161670013154,33.8350065,-118.326523
Indianapolis,IN,113,1,1,1,1,0,0,1,0,869387.0,12.997663871210406,39.7926014,-86.2730021
Norman,OK,16,0,1,0,1,0,0,1,0,124086.0,12.894282997276084,35.2135419,-97.415486
Lubbock,TX,33,1,1,0,1,1,1,1,0,257013.0,12.83981744114111,33.5632703,-101.922455
Salinas,CA,20,1,0,1,1,0,0,1,0,156177.0,12.805982955236688,36.8001379,-121.669648
Fort Wayne,IN,34,0,1,0,1,0,0,0,1,268378.0,12.668698626564025,41.1271112,-85.1403498
Anchorage,AK,37,0,1,0,1,1,0,0,0,292090.0,12.667328563114108,61.1957888,-149.8857397
Fountain Valley,CA,7,0,0,1,1,0,0,1,0,56118.0,12.473716098221605,33.7088573,-117.9400463
Statesboro,GA,4,0,1,1,1,0,0,0,0,32115.0,12.455238984898022,32.4804828,-81.8205092
Albemarle,NC,2,1,1,0,0,0,1,1,1,16073.0,12.44322777328439,35.3656307,-80.2017092
St. Paul,MN,38,1,1,1,1,1,0,1,1,305877.0,12.42329433072771,44.943732,-93.103125
Turlock,CA,9,0,0,1,1,0,0,1,0,72715.0,12.377088633706938,37.4906728,-120.9035684
Santa Rosa,CA,22,0,0,1,0,0,0,1,0,178391.0,12.33246071830978,38.4518593,-122.6191245
Corpus Christi,TX,40,1,0,1,1,0,1,1,0,326332.0,12.257455597367098,27.796687,-97.461578
Watauga,TX,3,0,1,1,0,0,0,1,0,24487.0,12.251398701351738,32.8630906,-97.2562727
Hartford,CT,15,1,1,1,1,0,1,1,1,122549.0,12.240001958400311,41.7517732,-72.7085135
Coronado,CA,3,1,0,1,1,0,0,1,0,24526.0,12.231917149147842,32.6884004,-117.1638287
Madera,CA,8,0,0,1,0,0,0,0,0,65575.0,12.199771254288985,36.9221284,-119.941296
Berkeley,CA,15,0,1,1,1,0,0,1,0,123065.0,12.188680778450411,37.86807,-122.2783559
Medford,OR,10,1,1,1,1,0,0,1,0,82098.0,12.180564690979072,42.3468193,-122.8562853
Appleton,WI,9,1,1,0,1,0,0,1,0,73891.0,12.180103124873124,44.2897435,-88.421154
Chico,CA,12,0,0,1,1,0,0,1,0,98683.0,12.160149164496415,39.7447185,-121.8424708
Boca Raton,FL,12,1,1,1,0,0,0,1,0,98776.0,12.148700089090466,26.3686824,-80.1456363
Forest Grove,OR,3,1,0,1,1,0,0,1,0,24847.0,12.07389222038878,45.5355475,-123.1119947
Fort Collins,CO,20,0,0,1,0,0,0,1,0,166069.0,12.04318686810904,40.5562063,-105.0786869
Gainesville,FL,16,1,1,1,0,0,1,1,0,133611.0,11.975061933523438,29.6722047,-82.3350765
Oceanside,CA,21,0,0,1,0,0,0,0,0,175694.0,11.952599405785058,33.2004171,-117.3735265
Tallahassee,FL,23,0,0,0,1,0,0,1,1,192885.0,11.924203540970009,30.4845018,-84.1593052
Maricopa,AZ,6,0,0,0,0,0,0,1,1,50358.0,11.914690813773383,33.0471601,-112.0640619
Lancaster,PA,7,1,1,0,1,0,0,1,1,59321.0,11.80020566072723,40.0341147,-76.3187827
West Valley,UT,16,1,1,1,1,0,0,1,0,135610.0,11.798539930683578,,
Washington,DC,81,1,1,1,0,1,1,0,1,701974.0,11.538888904717268,38.9278252,-77.0261176
Napa,CA,9,0,0,1,1,0,0,1,0,78294.0,11.495133726722354,38.3057945,-122.271547
Green Bay,WI,12,1,0,1,1,0,0,1,0,104508.0,11.482374555057984,44.5232844,-88.0982038
Wilmington,NC,14,0,1,0,1,0,0,1,1,122162.0,11.46019220379496,34.2175205,-77.9298682
El Centro,CA,5,1,0,1,0,0,0,1,0,43881.0,11.394453180191883,32.7968771,-115.5589276
Santa Maria,CA,12,0,0,1,1,0,0,0,0,105528.0,11.37138958380714,34.9207318,-120.4359398
West Covina,CA,12,1,0,1,1,0,0,1,0,105808.0,11.341297444427642,34.0536609,-117.9421458
Pasadena,CA,16,0,0,1,1,0,0,1,0,142017.0,11.26625685657351,34.141656,-118.091085
Redlands,CA,8,0,0,1,1,0,0,1,0,71680.0,11.160714285714285,34.063936,-117.234294
Beloit,WI,4,0,0,0,1,0,0,1,0,36804.0,10.868383871318334,42.5424959,-89.0251689
San Francisco,CA,95,1,1,1,1,1,1,1,1,874784.0,10.859823682188974,37.8080561,-122.4763625
Renton,WA,11,0,0,0,1,0,0,1,0,101871.0,10.797969981643451,47.4679103,-122.2212631
Fridley,MN,3,1,0,1,1,0,0,1,1,27789.0,10.795638562020944,45.0722118,-93.2611276
Glendale,AZ,27,0,1,0,0,0,1,0,0,250290.0,10.787486515641856,33.5929197,-112.1600283
Santa Cruz,CA,7,0,0,1,1,0,0,1,0,65011.0,10.767408592392057,36.9748194,-122.0196115
Imperial,CA,2,0,0,1,1,0,0,1,0,18631.0,10.734796843969727,32.8204806,-115.5542296
Corona,CA,18,0,0,1,1,0,0,1,0,168112.0,10.707147615875131,33.8765984,-117.5776708
Greenville,TX,3,0,0,1,0,0,1,0,0,28088.0,10.680717744232412,33.1327113,-96.0290153
Redwood,CA,9,0,0,1,1,0,0,1,0,84518.0,10.648619229039967,,
Charlottesville,VA,5,1,1,1,1,1,0,1,0,47217.0,10.58940635787958,37.9777939,-78.5453029
Garland,TX,25,0,0,1,1,0,0,0,0,238622.0,10.476821081040306,32.9187447,-96.6522267
Portland,OR,68,1,1,1,1,0,0,1,1,650380.0,10.45542605861189,45.5230622,-122.6764815
Madison,WI,27,1,1,1,1,0,1,1,1,258366.0,10.450291447017024,43.0832545,-89.5231279
Tempe,AZ,20,1,1,1,1,1,1,1,1,191607.0,10.438032013444186,33.3928639,-111.9395878
Wauwatosa,WI,5,0,1,1,1,0,1,1,0,48143.0,10.385725858380242,43.0625827,-87.9997039
Upland,CA,8,0,1,1,0,0,0,0,0,77348.0,10.342866008170864,34.1059,-117.6738816
Seattle,WA,76,1,1,1,1,1,1,1,1,741251.0,10.25293726416558,47.6185683,-122.3464095
Los Angeles,CA,407,1,1,1,1,1,1,1,1,3973278.0,10.243431242414951,34.0514934,-118.2008155
Davis,CA,7,1,1,1,1,0,1,1,1,68640.0,10.198135198135198,38.5398745,-121.7548688
Scottsdale,AZ,26,0,1,0,1,0,0,0,0,254995.0,10.196278358399184,33.509479,-111.917459
Chino,CA,9,0,0,1,1,0,0,1,0,89170.0,10.09308063249972,34.0296905,-117.6702056
Grand Rapids,MI,20,0,0,1,0,0,0,1,0,199417.0,10.029235220668248,42.9435733,-85.6602844
Vacaville,CA,10,0,0,1,1,0,0,1,0,99958.0,10.004201764741191,38.385091,-121.983135
Toms River,NJ,9,1,1,1,1,1,1,1,1,90081.0,9.991008092716555,39.952638,-74.1290797
Santa Monica,CA,9,0,0,1,1,0,0,1,1,91600.0,9.825327510917033,34.01114,-118.4850555
Ithaca,NY,3,1,1,1,1,0,0,0,1,30715.0,9.767214715936838,42.440538,-76.5130135
Sioux,IA,8,1,1,1,0,1,0,1,0,82535.0,9.692857575574,,
Oxnard,CA,20,0,0,1,1,0,0,1,0,207722.0,9.628253146031716,34.1590937,-119.182326
Midlothian,TX,3,0,0,0,0,0,0,1,0,31533.0,9.513842641042718,32.482768,-96.986802
Arvin,CA,2,1,0,1,0,0,0,1,0,21220.0,9.42507068803016,35.1978531,-118.8414306
Burlington,VT,4,1,1,1,1,0,1,1,1,42645.0,9.379763160980184,44.517913,-73.246385
Roseville,CA,13,0,0,1,1,0,0,1,0,138860.0,9.361947285035289,38.7295487,-121.2558935
Missoula,MT,7,0,1,0,0,0,0,1,0,74994.0,9.334080059738112,46.871676,-114.006538
San Diego,CA,132,1,1,1,1,0,1,1,1,1414545.0,9.331622535868425,32.7266073,-117.0717535
Fort Worth,TX,83,1,1,1,1,1,0,1,0,892221.0,9.302627936352092,32.7891849,-97.353167
North Las Vegas,NV,23,1,0,1,1,0,1,1,0,247248.0,9.302400828318127,36.199017,-115.1263799
Fullerton,CA,13,1,0,1,1,0,0,1,0,141061.0,9.215871147943089,33.8935243,-117.9663114
Laredo,TX,24,0,1,1,1,0,1,0,0,260571.0,9.210541464706356,27.5447005,-99.5042791
Sunnyvale,CA,14,0,0,1,1,0,0,1,0,152569.0,9.17617602527381,37.355512,-122.0456976
Beaverton,OR,9,1,1,1,1,0,0,1,1,98567.0,9.130845008978666,45.4430491,-122.8269958
Morgan,LA,1,0,1,1,1,0,1,0,1,10963.0,9.121590805436467,,
El Paso,TX,62,0,1,0,1,0,1,0,0,679879.0,9.119269752411826,31.8149706,-106.5444542
Chesapeake,VA,22,0,1,0,1,0,0,1,0,242647.0,9.066668864646998,36.7618449,-76.3323293
Durham,NC,25,1,1,1,1,1,1,1,1,276341.0,9.04679363539974,35.9916125,-78.911903
Kenosha,WI,9,1,1,1,1,0,1,1,0,99767.0,9.021018974209907,42.5667413,-87.8875487
Downey,CA,10,0,0,1,0,0,0,0,0,111263.0,8.987713795241904,33.9156779,-118.1250809
Fremont,CA,21,1,0,1,1,0,0,1,0,234829.0,8.942677437624825,37.4686468,-121.9078965
San Leandro,CA,8,1,0,1,1,0,0,1,0,90489.0,8.840853584413576,37.7278479,-122.1492532
Santa Barbara,CA,8,0,0,1,1,0,0,0,1,90911.0,8.79981520388072,34.4146718,-119.6978095
Lakewood,CA,7,1,1,1,0,1,1,1,0,79676.0,8.785581605502284,33.8561922,-118.1307539
Henderson,NV,27,1,1,1,1,0,1,1,0,309955.0,8.710941910922553,36.0248192,-115.0854228
Santa Clara,CA,11,0,0,1,1,0,0,1,0,126723.0,8.68035005484403,37.3451655,-121.9870907
Los Alamitos,CA,1,0,0,1,1,0,0,1,0,11521.0,8.679802100512108,33.8027245,-118.0628149
Tustin,CA,7,0,0,1,1,0,0,1,0,80815.0,8.661758336942398,33.7354092,-117.824875
Fairfield,CA,10,0,0,1,1,0,0,1,0,116544.0,8.580450302031851,38.2737017,-122.0340464
Tooele,UT,3,0,1,1,1,0,0,1,0,35313.0,8.495454931611588,40.7230314,-112.226034
Marana,AZ,4,1,1,0,1,0,0,0,0,47164.0,8.481044864727334,32.3038678,-111.3213084
New Haven,CT,11,1,1,0,1,0,0,1,1,130381.0,8.43681211219426,41.3051876,-72.9378121
Austin,TX,81,1,1,1,0,0,0,1,0,965872.0,8.38620438318949,30.2746126,-97.721093
Boise,ID,19,1,0,0,1,0,0,0,0,228057.0,8.331250520703158,43.6053353,-116.2877932
Lincoln,CA,4,0,0,1,1,0,0,1,0,48150.0,8.307372793354102,38.8676449,-121.2733151
Cedar Hill,TX,4,1,1,1,1,0,1,1,1,48337.0,8.275234292570907,32.597072,-96.9463201
